account_id,district_id,district_name,region,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_string,segment,flag_hflv,flag_lfhv,flag_reactivation
576,55,Brno - venkov,south Moravia,0,358,420034.2,1,5,3,3.1,153,At Risk,,,
3818,74,Ostrava - mesto,north Moravia,0,560,1345498.2,1,5,5,3.8,155,Potential Loyalists,,,
704,55,Brno - venkov,south Moravia,0,479,1296604.2,1,5,5,3.8,155,Potential Loyalists,,,
2378,16,Jindrichuv Hradec,south Bohemia,0,435,2433574.0,1,5,5,3.8,155,Potential Loyalists,,,
2632,24,Karlovy Vary,west Bohemia,0,564,1066581.2,1,5,5,3.8,155,Potential Loyalists,,,
1972,77,Vsetin,north Moravia,0,369,364406.2,1,5,3,3.1,153,At Risk,,,
1539,1,Hl.m. Praha,Prague,0,452,1547947.2,1,5,5,3.8,155,Potential Loyalists,,,
793,47,Pardubice,east Bohemia,0,497,232654.2,1,5,2,2.75,152,At Risk,,,
2484,74,Ostrava - mesto,north Moravia,0,608,1129127.2,1,5,5,3.8,155,Potential Loyalists,,,
1695,76,Sumperk,north Moravia,0,459,2814183.4,1,5,5,3.8,155,Potential Loyalists,,,
1726,48,Rychnov nad Kneznou,east Bohemia,0,602,1098381.2,1,5,5,3.8,155,Potential Loyalists,,,
2881,70,Karvina,north Moravia,0,422,670031.2,1,5,4,3.45,154,At Risk,,,
2357,19,Prachatice,south Bohemia,0,357,432841.2,1,5,3,3.1,153,At Risk,,,
2177,62,Uherske Hradiste,south Moravia,0,348,343382.2,1,4,3,2.75,143,At Risk,,,
485,6,Kutna Hora,central Bohemia,0,605,2355480.0,1,5,5,3.8,155,Potential Loyalists,,,
652,21,Tabor,south Bohemia,0,400,1075126.2,1,5,5,3.8,155,Potential Loyalists,,,
9635,70,Karvina,north Moravia,0,414,318530.5,1,5,3,3.1,153,At Risk,,,
1844,44,Chrudim,east Bohemia,0,321,198956.2,1,4,2,2.4,142,Hibernating,,,
1926,37,Litomerice,north Bohemia,0,447,395886.2,1,5,3,3.1,153,At Risk,,,
2393,10,Praha - vychod,central Bohemia,0,416,826562.2,1,5,4,3.45,154,At Risk,,,
3510,41,Usti nad Labem,north Bohemia,0,400,2283646.8,1,5,5,3.8,155,Potential Loyalists,,,
1276,36,Liberec,north Bohemia,0,551,587757.2,1,5,4,3.45,154,At Risk,,,
1637,1,Hl.m. Praha,Prague,0,426,384269.2,1,5,3,3.1,153,At Risk,,,
3871,26,Plzen - mesto,west Bohemia,0,422,259369.6,1,5,2,2.75,152,At Risk,,,
192,55,Brno - venkov,south Moravia,0,349,393304.6,1,4,3,2.75,143,At Risk,,,
764,1,Hl.m. Praha,Prague,0,359,429183.6,1,5,3,3.1,153,At Risk,,,
2087,7,Melnik,central Bohemia,0,380,1623510.0,1,5,5,3.8,155,Potential Loyalists,,,
2122,68,Frydek - Mistek,north Moravia,0,470,2464476.8,1,5,5,3.8,155,Potential Loyalists,,,
3592,54,Brno - mesto,south Moravia,0,351,418298.2,1,4,3,2.75,143,At Risk,,,
3487,41,Usti nad Labem,north Bohemia,0,469,1198383.2,1,5,5,3.8,155,Potential Loyalists,,,
435,38,Louny,north Bohemia,0,339,337757.6,1,4,3,2.75,143,At Risk,,,
1730,1,Hl.m. Praha,Prague,0,372,419959.6,1,5,3,3.1,153,At Risk,,,
1493,41,Usti nad Labem,north Bohemia,0,411,348833.2,1,5,3,3.1,153,At Risk,,,
374,38,Louny,north Bohemia,0,371,1440763.6,1,5,5,3.8,155,Potential Loyalists,,,
2925,1,Hl.m. Praha,Prague,0,385,516874.2,1,5,3,3.1,153,At Risk,,,
866,9,Nymburk,central Bohemia,0,628,958695.2,1,5,4,3.45,154,At Risk,,,
1628,60,Prostejov,south Moravia,0,332,294068.2,1,4,2,2.4,142,Hibernating,,,
2379,44,Chrudim,east Bohemia,0,485,402415.6,1,5,3,3.1,153,At Risk,,,
1979,26,Plzen - mesto,west Bohemia,0,358,201207.6,1,5,2,2.75,152,At Risk,,,
346,37,Litomerice,north Bohemia,0,419,1504908.6,1,5,5,3.8,155,Potential Loyalists,,,
1338,74,Ostrava - mesto,north Moravia,0,592,2005411.2,1,5,5,3.8,155,Potential Loyalists,,,
1909,14,Ceske Budejovice,south Bohemia,0,486,217382.6,1,5,2,2.75,152,At Risk,,,
2099,3,Beroun,central Bohemia,0,393,1931070.3,1,5,5,3.8,155,Potential Loyalists,,,
3760,44,Chrudim,east Bohemia,0,391,2417278.2,1,5,5,3.8,155,Potential Loyalists,,,
5270,44,Chrudim,east Bohemia,0,462,2927486.2,1,5,5,3.8,155,Potential Loyalists,,,
1699,53,Blansko,south Moravia,0,405,350667.6,1,5,3,3.1,153,At Risk,,,
3909,1,Hl.m. Praha,Prague,0,556,1839157.6,1,5,5,3.8,155,Potential Loyalists,,,
2926,50,Svitavy,east Bohemia,0,620,828606.6,1,5,4,3.45,154,At Risk,,,
1731,33,Decin,north Bohemia,0,342,314430.6,1,4,2,2.4,142,Hibernating,,,
11265,15,Cesky Krumlov,south Bohemia,0,484,628762.6,1,5,4,3.45,154,At Risk,,,
2519,4,Kladno,central Bohemia,0,374,351946.6,1,5,3,3.1,153,At Risk,,,
10364,55,Brno - venkov,south Moravia,0,487,1145370.6,1,5,5,3.8,155,Potential Loyalists,,,
1481,15,Cesky Krumlov,south Bohemia,0,348,206703.6,1,4,2,2.4,142,Hibernating,,,
401,32,Ceska Lipa,north Bohemia,0,441,966226.6,1,5,4,3.45,154,At Risk,,,
4034,1,Hl.m. Praha,Prague,0,358,466421.6,1,5,3,3.1,153,At Risk,,,
2330,54,Brno - mesto,south Moravia,0,399,224044.6,1,5,2,2.75,152,At Risk,,,
1806,40,Teplice,north Bohemia,0,349,346107.6,1,4,3,2.75,143,At Risk,,,
3834,54,Brno - mesto,south Moravia,0,665,1093077.6,1,5,5,3.8,155,Potential Loyalists,,,
1222,66,Zdar nad Sazavou,south Moravia,0,367,437875.6,1,5,3,3.1,153,At Risk,,,
212,27,Plzen - jih,west Bohemia,0,432,3191586.0,1,5,5,3.8,155,Potential Loyalists,,,
456,49,Semily,east Bohemia,0,387,3235063.6,1,5,5,3.8,155,Potential Loyalists,,,
459,47,Pardubice,east Bohemia,670,49,37700.0,1,1,1,1.0,111,Lost / Inactive,,,
772,45,Jicin,east Bohemia,0,558,1794553.6,1,5,5,3.8,155,Potential Loyalists,,,
1019,52,Usti nad Orlici,east Bohemia,0,557,1496602.6,1,5,5,3.8,155,Potential Loyalists,,,
11295,74,Ostrava - mesto,north Moravia,0,563,1388546.8,1,5,5,3.8,155,Potential Loyalists,,,
2970,60,Prostejov,south Moravia,18,298,718223.6,1,4,4,3.1,144,At Risk,,,
2676,73,Opava,north Moravia,0,547,1142084.6,1,5,5,3.8,155,Potential Loyalists,,,
1536,41,Usti nad Labem,north Bohemia,0,427,1649444.0,1,5,5,3.8,155,Potential Loyalists,,,
1179,74,Ostrava - mesto,north Moravia,0,332,287251.6,1,4,2,2.4,142,Hibernating,,,
280,25,Klatovy,west Bohemia,0,481,913785.6,1,5,4,3.45,154,At Risk,,,
2425,41,Usti nad Labem,north Bohemia,0,411,719639.6,1,5,4,3.45,154,At Risk,,,
9307,68,Frydek - Mistek,north Moravia,0,649,1966935.6,1,5,5,3.8,155,Potential Loyalists,,,
4055,23,Cheb,west Bohemia,0,349,1548483.6,1,4,5,3.45,145,At Risk,,,
5065,66,Zdar nad Sazavou,south Moravia,0,373,1569668.9,1,5,5,3.8,155,Potential Loyalists,,,
